label,text,split
1,"the rock is destined to be the 21st century 's new conan and that he 's going to make a splash even greater than arnold schwarzenegger , jean claud van damme or steven segal",9
1,the gorgeously elaborate continuation of the lord of the rings trilogy is so huge that a column of words cannot adequately describe co writer director peter jackson 's expanded vision of j r r tolkien 's middle earth,8
1,effective but too tepid biopic,1
1,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start",7
1,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one",9
1,the film provides some great insight into the neurotic mindset of all comics even those who have reached the absolute top of the game,7
1,offers that rare combination of entertainment and education,8
1,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions,0
1,steers turns in a snappy screenplay that curls at the edges it 's so clever you want to hate it but he somehow pulls it off,2
1,take care of my cat offers a refreshingly different slice of asian cinema,8
1,"this is a film well worth seeing , talking and singing heads and all",9
1,what really surprises about wisegirls is its low key quality and genuine tenderness,3
1,"\( wendigo is \) why we go to the cinema to be fed through the eye , the heart , the mind",0
1,"one of the greatest family oriented , fantasy adventure movies ever",7
1,"ultimately , it ponders the reasons we need stories so much",4
1,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question,7
1,illuminating if overly talky documentary,1
1,a masterpiece four years in the making,2
1,"the movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries",2
1,offers a breath of the fresh air of true sophistication,4
1,"a thoughtful , provocative , insistently humanizing film",7
1,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass,0
1,"not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare",2
1,"occasionally melodramatic , it 's also extremely effective",8
1,spiderman rocks,2
1,an idealistic love story that brings out the latent 15 year old romantic in everyone,4
1,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story however , it lacks grandeur and that epic quality often associated with stevenson 's tale as well as with earlier disney efforts",8
1,it helps that lil bow wow tones down his pint sized gangsta act to play someone who resembles a real kid,4
1,"guaranteed to move anyone who ever shook , rattled , or rolled",5
1,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview",4
1,"light , cute and forgettable",0
1,"if there 's a way to effectively teach kids about the dangers of drugs , i think it 's in projects like the \( unfortunately r rated \) paid",2
1,"while it would be easy to give crush the new title of two weddings and a funeral , it 's a far more thoughtful film than any slice of hugh grant whimsy",9
1,"though everything might be literate and smart , it never took off and always seemed static",5
1,"cantet perfectly captures the hotel lobbies , two lane highways , and roadside cafes that permeate vincent 's days",7
1,"ms fulford wierzbicki is almost spooky in her sulky , calculating lolita turn",9
1,"though it is by no means his best work , laissez passer is a distinguished and distinctive effort by a bona fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them",1
1,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike a heavy reliance on cgi technology is beginning to creep into the series",2
1,"newton draws our attention like a magnet , and acts circles around her better known co star , mark wahlberg",2
